_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4485038,16633,BP-31739,5533A,Yonge St,Yonge St,East,Olive Ave,South,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4150846698655, 43.7785833031081]]}"
4485039,16634,BP-31740,5291A,Yonge St,Yonge St,East,McKee Ave,South,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4136044250532, 43.7727291786587]]}"
4485040,16637,BP-31768,5311A,Yonge St,Yonge St,East,McKee Ave,North,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4137496819242, 43.7732934815121]]}"
4485041,16640,BP-31819,185,Eastern Ave,Lawren Harris Sq,South,Eastern Ave,South,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3546243794294, 43.6546957333553]]}"
4485042,16641,BP-31820,29,Lower River St,Eastern Ave Diversion,North,Lower River St,North,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3548984855148, 43.6558701729803]]}"
4485043,16642,BP-31831,575,King St E,King St E,South,St Lawrence St,West,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3571028269281, 43.65623211264921]]}"
4485044,16644,BP-31868,185,Eastern Ave,Lawren Harris Sq,South,Eastern Ave,South,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3546498348513, 43.6547199883656]]}"
4485045,16645,BP-31898,382,Roncesvalles Ave,Marmaduke St,North,Neepawa Ave,West,,04,Roncesvalles Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4509160971945, 43.6504698451352]]}"
4485046,16646,BP-31909,115,Howard Park Ave,Howard Park Ave,South,Sunnyside Ave,East,,04,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4526415210863, 43.6511228835564]]}"
4485047,16647,BP-31910,2293,Dundas St W,Dundas St W,West,Ln S Bloor E Alhambra,South,,04,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4523187390746, 43.6553807241114]]}"
4485048,16648,BP-31955,382,Roncesvalles Ave,Roncesvalles Ave,West,Neepawa Ave,North,,04,Roncesvalles Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4508115049614, 43.6506246685924]]}"
4485049,16649,BP-31960,484,Roncesvalles Ave,Roncesvalles Ave,West,Boustead Ave,South,,04,Roncesvalles Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4517825839213, 43.6534092385223]]}"
4485050,16650,BP-31963,2174,Dundas St W,Dundas St W,East,Ritchie Ave,North,,04,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4506983277896, 43.6533933387208]]}"
4485051,16651,BP-30036,2406,Eglinton Ave W,Gabian Way,East,Eglinton Ave W,North,,05,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.46767633159192, 43.6920852176123]]}"
4485052,16652,BP-30057,1476,Eglinton Ave W,Eglinton Ave W,North,Marlee Ave,West,,08,York-Eglinton,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4398405589533, 43.6980148538206]]}"
4485053,16653,BP-30076,1470A,Eglinton Ave W,Eglinton Ave W,North,Marlee Ave,West,,08,York-Eglinton,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4396287837531, 43.6980629710569]]}"
4485054,16654,BP-30108,946A,Bloor St W,Bloor St W,North,Delaware Ave,North,,09,Bloorcourt Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4282106167864, 43.661480635914]]}"
4485055,16655,BP-30120,845,Bloor St W,Bloor St W,South,Shaw St,West,,11,Bloorcourt Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.423542103153, 43.6623742414815]]}"
4485056,16656,BP-30125,871,College St,College St,South,Concord Ave,West,,09,College Promenade,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4241554079719, 43.6540117851204]]}"
4485057,16657,BP-30127,869,Bloor St W,Bloor St W,South,Carling Ave,West,,11,Bloorcourt Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4247734534869, 43.6621029748617]]}"
4485058,16658,BP-43984,1856A,Keele St,Eglinton Ave W,North,Keele St,West,,05,Eglinton Hill,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4741046781113, 43.6904600142968]]}"
4485059,16659,BP-43994,1561,Eglinton Ave W,Eglinton Ave W,South,Oakwood Ave,East,,12,York-Eglinton,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4420540244902, 43.697373413501104]]}"
4485060,16660,BP-44028,271,Queen St W,Queen St W,South,Mc Caul St,South,,10,Queen Street West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3896729864418, 43.6500766579012]]}"
4485061,16661,BP-44051,5607,Yonge St,Yonge St,East,Finch Ave E,North,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4154337406655, 43.779995888469]]}"
4485062,16662,BP-44053,5697,Yonge St,Bishop Ave,North,Yonge St,East,,18,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.41536400686232, 43.7819170792589]]}"
4485063,16663,BP-44057,5617B-5637B,Yonge St,Yonge St,East,Finch Ave E,North,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4155332304874, 43.7804077649084]]}"
4485064,16664,BP-44064,388,Queen St E,Trefann St,East,Queen St E,North,,13,Historic Queen East,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3632343484807, 43.6560179635801]]}"
4485065,16665,BP-44071,469,Front St E,Front St E,South,Rolling Mills Rd,West,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3560364073939, 43.6530881051757]]}"
4485066,16666,BP-44073,16,Hendon Ave,Yonge St,West,Hendon Ave,North,,18,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4169258160818, 43.7820863846655]]}"
4485067,16668,BP-36240,162,Bathurst St,Bathurst St,West,Richmond St W,South,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4037169949967, 43.6461395686069]]}"
4485068,16670,BP-36255,85,Queens Wharf Rd,Queens Wharf Rd,East,Fort York Blvd,South,,10,CityPlace and Fort York,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.399143910144, 43.6389360482544]]}"
4485069,16671,BP-36256,51,Niagara St,Bathurst St,West,Niagara St,South,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4019336563857, 43.6417564643956]]}"
4485070,16672,BP-36279,62,Bathurst St,Bathurst St,West,Wellington St W,South,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4022367361292, 43.6424886166858]]}"
4485071,16673,BP-36284,110,Charles St E,Ted Rogers Way,West,Mount Pleasant Rd,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3801010324413, 43.6702546864085]]}"
4485072,16674,BP-36286,133,Bloor St E,Church St,West,Bloor St E,South,,11,Bloor Street,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3831266949427, 43.6706926020867]]}"
4485073,16676,BP-36311,1,Isabella St,Isabella St,South,Yonge St,East,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.385347158664, 43.667532188147305]]}"
4485074,16678,BP-36332,634,Church St,Church St,West,Charles St E,North,,11,Bloor-Yorkville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3827050597646, 43.6697300541687]]}"
4485075,16679,BP-36341,550,Jarvis St,Jarvis St,West,Isabella St,North,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.379616172039, 43.6690673694805]]}"
4485076,16680,BP-36352,1015,Broadview Ave,Broadview Ave,East,Westwood Ave,South,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3565887903892, 43.6847986599451]]}"
4485077,16681,BP-36360,356,Eastern Ave,Eastern Ave,North,Lewis St,East,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3472879141522, 43.6566076145094]]}"
4485078,16682,BP-44092,2646,Yonge St,Yonge St,West,Craighurst Ave,North,,08,Uptown Yonge,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4003680653867, 43.7157775480188]]}"
4485079,16683,BP-44093,672,Dupont St,Dupont St,North,Willowvale Lane,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4222320283082, 43.6715714886007]]}"
4485080,16684,BP-44107,208,Queen St W,Queen St W,North,St Patrick St,West,,10,Queen Street West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3890398748812, 43.650378697877]]}"
4485081,16685,BP-44125,686A,Queen St E,Queen St E,North,Hamilton St,East,,14,Riverside District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3507154936913, 43.6587389175874]]}"
4485082,16686,BP-44127,700,Queen St E,Queen St E,North,Broadview Ave,West,,14,Riverside District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3501206868124, 43.6588734925177]]}"
4485083,16687,BP-44129,742,Queen St E,Grant St,West,Queen St E,North,,14,Riverside District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3485873850342, 43.6592601680134]]}"
4485084,16688,BP-44133,688,Queen St E,Queen St E,North,Hamilton St,East,,14,Riverside District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.350628906066, 43.6587581663747]]}"
4485085,16689,BP-44135,727,Queen St E,Queen St E,South,Lewis St,West,,14,Riverside District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3491683109073, 43.6589530809602]]}"
4485086,16690,BP-44145,2299,Yonge St,Yonge St,East,Roehampton Ave,South,,12,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3984153911386, 43.7076927305568]]}"
4485087,16691,BP-20872,292A,Bremner Blvd,Bremner Blvd,North,Rees St,East,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3865312131977, 43.641835891139]]}"
4485088,16692,BP-20885,230,Front St W,Front St W,North,Simcoe St,West,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3865567557831, 43.6445580303373]]}"
4485089,16693,BP-20890,310,Front St W,Front St W,North,Windsor St,West,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3903372004806, 43.6437069222632]]}"
4485090,16694,BP-20904,255,Bremner Blvd,Bremner Blvd,South,Lower Simcoe St,West,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.38508151849511, 43.6420894159189]]}"
4485091,16695,BP-20934,603,Davenport Rd,Davenport Rd,South,Walmer Rd,West,,12,Dupont by the Castle,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.41074838856652, 43.6767427757119]]}"
4485092,16696,BP-20935,115,Winona Dr,Winona Dr,East,Benson Ave,South,,12,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.43139426596731, 43.6777777266637]]}"
4485093,16697,BP-21072,651,Dufferin St,Dufferin St,East,Ln N Dundas E Dufferin,North,,09,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4315520287499, 43.6501831348334]]}"
4485094,16699,BP-21001,573,Christie St,Christie St,East,Ln N Tyrrel W Christie,North,,12,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4245903396561, 43.6792028407282]]}"
4485095,16700,BP-21003,603,Davenport Rd,Davenport Rd,South,Dartnell Ave,East,,12,Dupont by the Castle,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4115728318088, 43.6767362784016]]}"
4485096,16701,BP-21006,19,Orde St,Murray St,West,Orde St,South,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3913529780803, 43.6580975287969]]}"
4485097,16702,BP-21021,129,Mc Caul St,Mc Caul St,East,Dundas St W,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3914187581289, 43.6544533582555]]}"
4485098,16703,BP-21025,140,Mc Caul St,Ln N Dundas W Mc Caul,South,Mc Caul St,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3916956889751, 43.6547372896273]]}"
4485099,16704,BP-21031,176,Elm St,Murray St,West,Elm St,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3906262165295, 43.656339439241]]}"
4485100,16705,BP-21034,330,Lansdowne Ave,Lansdowne Ave,West,Lumbervale Ave,North,,09,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4406155739839, 43.6520968688035]]}"
4485101,16706,BP-21044,354,Lansdowne Ave,Lansdowne Ave,West,Whytock Ave,South,,09,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4410773672598, 43.6535715840809]]}"
4485102,16707,BP-21052,388,Brock Ave,Margueretta St,East,Brock Ave,West,,09,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4381171621756, 43.65314920653161]]}"
4485103,16708,BP-21103,85,Queen St E,Queen St E,South,Dalhousie St,West,,13,Historic Queen East,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3752193306317, 43.653200964481]]}"
4485104,16709,BP-21104,99,Queen St E,Queen St E,South,Dalhousie St,East,,13,Historic Queen East,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3748486058819, 43.6532850279365]]}"
4485105,16710,BP-21167,78,Victoria St,Victoria St,West,Lombard St,North,,13,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3775972486866, 43.6513514701002]]}"
4485106,16711,BP-21173,30,Adelaide St E,Victoria St,East,Lombard St,South,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3773027621939, 43.6511026538829]]}"
4485107,16712,BP-27196,323,Davenport Rd,Davenport Rd,West,Bedford Rd,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4011269609987, 43.6747185447631]]}"
4485108,16713,BP-27198,320,St George St,St George St,West,Admiral Rd,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.40346646052042, 43.6750310089611]]}"
4485109,16714,BP-27200,40,Bedford Rd,Lowther Ave,South,Bedford Rd,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3985789291048, 43.6702163787012]]}"
4485110,16715,BP-27212,660,Pape Ave,Pape Ave,West,Harcourt Ave,North,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3444784044677, 43.6776776760753]]}"
4485111,16716,BP-27213,649,Danforth Ave,Pape Ave,West,Danforth Ave,South,,14,Greektown on the Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3448669234813, 43.6786514892769]]}"
4485112,16717,BP-27221,100,Strathcona Ave,Strathcona Ave,North,Blake St,West,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3403089843775, 43.676638675248206]]}"
4485113,16718,BP-27235,705A,Danforth Ave,Danforth Ave,South,Eaton Ave,West,,14,Greektown on the Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3437023226579, 43.6790791035252]]}"
4485114,16719,BP-27241,815,Danforth Ave,Danforth Ave,South,Langford Ave,West,,14,Greektown on the Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3408749241763, 43.6796275952526]]}"
4485115,16720,BP-27249,725,Danforth Ave,Danforth Ave,South,Eaton Ave,West,,14,Greektown on the Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3431739815886, 43.679182516102]]}"
4485116,16721,BP-27250,617,Danforth Ave,Danforth Ave,South,Gough Ave,East,,14,Greektown on the Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3458201464551, 43.6786556053555]]}"
4485117,16723,BP-27824,634,College St,College St,North,Beatrice St,East,,11,Little Italy,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.41654693345441, 43.6551439310394]]}"
4485118,16725,BP-26022,117,Danforth Ave,Danforth Ave,South,Broadview Ave,East,,14,Broadview Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3579971605278, 43.676284960721]]}"
4485119,16726,BP-26024,180,Danforth Ave,Danforth Ave,North,Ellerbeck St,West,,14,Broadview Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.356949638874, 43.676659531702]]}"
4485120,16727,BP-26026,2,Howland Rd,Howland Rd,West,Ln N Gerrard W Howland Rd,North,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3472965307509, 43.6671985504754]]}"
4485121,16728,BP-26053,3,Jackman Ave,Danforth Ave,North,Jackman Ave,East,,14,Broadview Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3530642107684, 43.6774144676188]]}"
4485122,16729,BP-26059,475,Broadview Ave,Broadview Ave,East,Riverdale Ave,North,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3529157949486, 43.6690157806156]]}"
4485123,16730,BP-26076,360,Danforth Ave,Danforth Ave,North,Hampton Ave,North,,14,Greektown on the Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3528074825606, 43.6774670380705]]}"
4485124,16731,BP-26078,283,Danforth Ave,Danforth Ave,South,Bowden St,West,,14,Broadview Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3542829208323, 43.677007898926]]}"
4485125,16732,BP-26083,820,Logan Ave,Logan Ave,West,Ln S Danforth E Logan,South,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3494859669648, 43.6772204784013]]}"
4485126,16733,BP-26088,200,Danforth Ave,Danforth Ave,North,Ellerbeck St,East,,14,Broadview Danforth,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3561820289918, 43.6768477942371]]}"
4485127,16734,BP-26099,672,Gerrard St E,Gerrard St E,North,Boulton Ave,North,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3495310621467, 43.6661808073503]]}"
4485128,16735,BP-26106,450,Broadview Ave,Broadview Ave,West,Langley Ave,West,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3536038084769, 43.6676777697545]]}"
4485129,16736,BP-26108,171,Hampton Ave,Hampton Ave,East,Danforth Ave,South,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3525809467459, 43.6770004238952]]}"
4485130,16737,BP-26123,588,Gerrard St E,Gerrard St E,North,Ln E Broadview N Gerrard,East,,14,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3520497446152, 43.6656312869248]]}"
4485131,16738,BP-26128,3000,Lake Shore Blvd W,Lake Shore Blvd W,North,Ninth St,West,,03,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.50792506443642, 43.6002912225385]]}"
4485132,16739,BP-26132,3037-3039,Lake Shore Blvd W,Lake Shore Blvd W,South,Eleventh St,East,,03,Lakeshore Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5092851846698, 43.5997901539721]]}"
4485133,16740,BP-26146,3025,Lake Shore Blvd W,Tenth St,West,Lake Shore Blvd W,South,,03,Lakeshore Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5086475550882, 43.5998590019961]]}"
4485134,16741,BP-26151,3078,Lake Shore Blvd W,Lake Shore Blvd W,North,Thirteenth St,West,,03,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5122068299454, 43.5993523732815]]}"
4485135,16743,BP-26162,2925,Lake Shore Blvd W,Lake Shore Blvd W,South,Islington Ave,East,,03,Lakeshore Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5049351202094, 43.6007479257463]]}"
4485136,16745,BP-26204,3250,Lake Shore Blvd W,Lake Shore Blvd W,North,Twenty Fourth St,East,,03,Long Branch,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5221743053688, 43.5971523889077]]}"
4485137,16746,BP-26206,3379,Lake Shore Blvd W,Lake Shore Blvd W,South,Twenty Eighth St,East,,03,Long Branch,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5271951604109, 43.5957733453861]]}"
4485138,16747,BP-26208,3382,Lake Shore Blvd W,Lake Shore Blvd W,North,Twenty Eighth St,East,,03,Long Branch,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5271052337352, 43.5960840877028]]}"
4485139,16748,BP-26214,2908,Lake Shore Blvd W,Lake Shore Blvd W,North,Sixth St,West,,03,Lakeshore Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5044061218, 43.6010605493499]]}"
4485140,16749,BP-26229,158,Eglinton Ave W,Eglinton Ave W,North,Colin Ave,West,,08,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4031422328193, 43.7058336064086]]}"
4485141,16750,BP-26260,448,Eglinton Ave W,Eglinton Ave W,North,Castle Knock Rd,West,,08,The Eglinton Way,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4118597466827, 43.7039817085918]]}"
4485142,16752,BP-26276,406,Eglinton Ave W,Eglinton Ave W,North,Elmsthorpe Ave,East,,08,The Eglinton Way,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4108211866085, 43.704196114557]]}"
4485143,16753,BP-26290,124,Eglinton Ave W,Eglinton Ave W,North,Colin Ave,East,,08,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4025333511167, 43.7059470899693]]}"
4485144,16754,BP-31415,4922A,Yonge St,Yonge St,West,Spring Garden Ave,West,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4118467305253, 43.7643721726855]]}"
4485145,16755,BP-31421,4864A,Yonge St,Yonge St,West,Greenfield Ave,South,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4114723296052, 43.7629475003057]]}"
4485146,16756,BP-31428,37,Sheppard Ave E,Sheppard Ave E,South,Doris Ave,West,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4090873146654, 43.7617972931067]]}"
4485147,16757,BP-31430,Jul-25,Spring Garden Ave,Spring Garden Ave,South,Yonge St,East,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.410539384179, 43.7644875151532]]}"
4485148,16758,BP-31431,35,Sheppard Ave E,Sheppard Ave E,South,Doris Ave,West,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.409210764171, 43.7617648609515]]}"
4485149,16759,BP-31432,5145,Yonge St,Yonge St,East,Park Home Ave,South,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4126155455155, 43.7688340344694]]}"
4485150,16760,BP-31434,5111,Yonge St,Yonge St,East,Hillcrest Ave,North,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4124900437645, 43.7683144086887]]}"
4485151,16761,BP-31450,4922A,Yonge St,Yonge St,West,Spring Garden Ave,West,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4118321345474, 43.7643230689879]]}"
4485152,16763,BP-31471,131,Finch Ave W,Finch Ave W,South,Routliffe Lane,East,,18,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4264271815973, 43.7771771301263]]}"
4485153,16764,BP-31480,131,Finch Ave W,Finch Ave W,South,Routliffe Lane,East,,18,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4264558489842, 43.7771704517128]]}"
4485154,16765,BP-31485,4711,Yonge St,Yonge St,East,Poyntz Ave,South,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4102407509384, 43.7594482379711]]}"
4485155,16766,BP-31486,6,Spring Garden Ave,Spring Garden Ave,North,Yonge St,East,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4110118044589, 43.7645227815202]]}"
4485156,16767,BP-31489,4858A,Yonge St,Yonge St,West,Harlandale Ave,North,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4114352860792, 43.7627759720682]]}"
4485157,16768,BP-31490,1030,Queen St E,Queen St E,North,Boston Ave,East,,14,Leslieville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3384494621005, 43.6614872019622]]}"
4485158,16769,BP-31497,765,Queen St E,Queen St E,South,Saulter St,West,,14,Riverside District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3476687171631, 43.65928875997]]}"
4485159,16770,BP-31501,930,Queen St E,Queen St E,North,Morse St,West,,14,Leslieville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.341680157336, 43.6607678070342]]}"
4485160,16771,BP-31508,774,Queen St E,Queen St E,North,Saulter St,North,,14,Riverside District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3474736027615, 43.6594704079913]]}"
4485161,16772,BP-31514,798,Queen St E,Queen St E,North,Boulton Ave,West,,14,Riverside District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3469422770791, 43.6595890736605]]}"
4485162,16773,BP-31518,781,Queen St E,Queen St E,South,Boulton Ave,West,,14,Riverside District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.347036332097, 43.6594326211528]]}"
4485163,16774,BP-31525,1172,Queen St E,Queen St E,North,Rushbrooke Ave,East,,14,Leslieville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3322003808555, 43.6628788804231]]}"
