_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4490588,23057,BP-27065,447,Dovercourt Rd,Dovercourt Rd,East,College St,North,,09,College Promenade,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4264408008327, 43.6539400075365]]}"
4490589,23058,BP-30355,118,Beverley St,Beverley St,West,Dundas St W,South,,10,Chinatown,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3938674824798, 43.653669191572]]}"
4490590,23059,BP-30356,21,Phoebe St,Phoebe St,South,Huron St,West,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3951336309443, 43.6503661595945]]}"
4490591,23060,BP-30395,581,Markham St,Lennox St,North,Markham St,East,,11,Mirvish Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4117956774276, 43.663657221804]]}"
4490592,23061,BP-30402,344,Harbord St,Harbord St,North,Ln W Montrose N Harbord,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4198232747382, 43.6595351900962]]}"
4490593,23062,BP-30404,569,Crawford St,Harbord St,North,Crawford St,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4205968552084, 43.659371419468]]}"
4490594,23063,BP-30405,297,Harbord St,Harbord St,South,Ln E Clinton N Harbord,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4155681557296, 43.6602707409022]]}"
4490595,23064,BP-30413,588,Markham St,Markham St,West,Lennox St,North,,11,Mirvish Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4120538885047, 43.6637788398203]]}"
4490596,23065,BP-30417,581,Markham St,Markham St,East,Lennox St,North,,11,Mirvish Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4118891169618, 43.6637090785717]]}"
4490597,23066,BP-30423,295,Harbord St,Harbord St,South,Ln E Clinton N Harbord,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4154055420994, 43.6603016483173]]}"
