centreline_id,direction,location,class_type,dt,volume_daily
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-21,878
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-20,1170
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-19,1489
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-18,1470
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-17,1677
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-16,1295
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-15,1285
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-14,460
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-13,952
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-12,711
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-11,1642
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-10,1255
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-09,1224
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-08,694
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-07,998
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-06,1029
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-05,1084
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-04,1658
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-03,1715
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-02,1527
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-06-01,1156
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-31,253
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-30,668
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-29,1508
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-28,1604
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-27,1433
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-26,1556
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-25,1395
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-24,1047
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-23,929
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-22,1319
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-21,1476
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-20,1331
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-19,1425
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-18,855
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-17,924
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-16,791
